"REF_DATE","GEO","DGUID","Sex","Age group","Disability type","Global Severity","Labour force status","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Total population, severity of disability","Total labour force","Number","223","units","0","v91890062","1.2.1.1.1.1","1097360","","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Total population, severity of disability","Employed","Number","223","units","0","v91890063","1.2.1.1.1.2","511900","","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Total population, severity of disability","Unemployed","Number","223","units","0","v91890064","1.2.1.1.1.3","64100","","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Total population, severity of disability","Not in labour force","Number","223","units","0","v91890065","1.2.1.1.1.4","451460","","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Total population, severity of disability","Participation rate","Percent","239","units","0","v91890066","1.2.1.1.1.5","56.1","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Total population, severity of disability","Age standardized participation rate","Percent","239","units","0","v91890067","1.2.1.1.1.6","55.9","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Total population, severity of disability","Employment Rate","Percent","239","units","0","v91890068","1.2.1.1.1.7","49.8","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Total population, severity of disability","Age standardized employment rate","Percent","239","units","0","v91890069","1.2.1.1.1.8","48.8","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Total population, severity of disability","Unemployment rate","Percent","239","units","0","v91890070","1.2.1.1.1.9","11.1","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Total population, severity of disability","Age standardized unemployment rate","Percent","239","units","0","v91890071","1.2.1.1.1.10","13.8","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Mild","Total labour force","Number","223","units","0","v91890072","1.2.1.1.2.1","359550","","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Mild","Employed","Number","223","units","0","v91890073","1.2.1.1.2.2","223110","","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Mild","Unemployed","Number","223","units","0","v91890074","1.2.1.1.2.3","24340","","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Mild","Not in labour force","Number","223","units","0","v91890075","1.2.1.1.2.4","93640","","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Mild","Participation rate","Percent","239","units","0","v91890076","1.2.1.1.2.5","72.5","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Mild","Age standardized participation rate","Percent","239","units","0","v91890077","1.2.1.1.2.6","73.0","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Mild","Employment Rate","Percent","239","units","0","v91890078","1.2.1.1.2.7","65.4","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Mild","Age standardized employment rate","Percent","239","units","0","v91890079","1.2.1.1.2.8","65.2","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Mild","Unemployment rate","Percent","239","units","0","v91890080","1.2.1.1.2.9","9.8","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Mild","Age standardized unemployment rate","Percent","239","units","0","v91890081","1.2.1.1.2.10","12.3","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Moderate","Total labour force","Number","223","units","0","v91890082","1.2.1.1.3.1","210280","","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Moderate","Employed","Number","223","units","0","v91890083","1.2.1.1.3.2","113940","","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Moderate","Unemployed","Number","223","units","0","v91890084","1.2.1.1.3.3","11630","E","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Moderate","Not in labour force","Number","223","units","0","v91890085","1.2.1.1.3.4","75640","","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Moderate","Participation rate","Percent","239","units","0","v91890086","1.2.1.1.3.5","62.4","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Moderate","Age standardized participation rate","Percent","239","units","0","v91890087","1.2.1.1.3.6","59.4","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Moderate","Employment Rate","Percent","239","units","0","v91890088","1.2.1.1.3.7","56.6","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Moderate","Age standardized employment rate","Percent","239","units","0","v91890089","1.2.1.1.3.8","53.1","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Moderate","Unemployment rate","Percent","239","units","0","v91890090","1.2.1.1.3.9","9.3","E","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Moderate","Age standardized unemployment rate","Percent","239","units","0","v91890091","1.2.1.1.3.10","11.2","E","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Severe","Total labour force","Number","223","units","0","v91890092","1.2.1.1.4.1","241210","","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Severe","Employed","Number","223","units","0","v91890093","1.2.1.1.4.2","100910","","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Severe","Unemployed","Number","223","units","0","v91890094","1.2.1.1.4.3","11390","E","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Severe","Not in labour force","Number","223","units","0","v91890095","1.2.1.1.4.4","112980","","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Severe","Participation rate","Percent","239","units","0","v91890096","1.2.1.1.4.5","49.8","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Severe","Age standardized participation rate","Percent","239","units","0","v91890097","1.2.1.1.4.6","51.2","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Severe","Employment Rate","Percent","239","units","0","v91890098","1.2.1.1.4.7","44.8","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Severe","Age standardized employment rate","Percent","239","units","0","v91890099","1.2.1.1.4.8","45.2","","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Severe","Unemployment rate","Percent","239","units","0","v91890100","1.2.1.1.4.9","10.1","E","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Severe","Age standardized unemployment rate","Percent","239","units","0","v91890101","1.2.1.1.4.10","13.2","E","","","1"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Very Severe","Total labour force","Number","223","units","0","v91890102","1.2.1.1.5.1","286320","","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Very Severe","Employed","Number","223","units","0","v91890103","1.2.1.1.5.2","73940","","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Very Severe","Unemployed","Number","223","units","0","v91890104","1.2.1.1.5.3","16740","E","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Very Severe","Not in labour force","Number","223","units","0","v91890105","1.2.1.1.5.4","169210","","","","0"
"2012","Canada","2016A000011124","Males","Total, 15 to 64 years","All disability types","Very Severe","Participation rate","Percent","239","units","0","v91890106","1.2.1.1.5.5","34.9","","","","1"
