,Worker,Business,Economic,Sponsor,Refugee,Total,Employment
0,780,0,1150,625,55,1900,69.3
1,1245,0,1795,630,175,2645,69.1
2,1370,0,2575,755,280,3660,68.8
3,1545,0,2870,735,130,3785,68.7
4,1695,10,2830,815,200,3885,69.1
5,2140,5,3120,935,200,4295,69.5
6,2400,10,3445,730,265,4525,69.9
7,2500,10,3445,805,180,4465,69.7
8,2795,5,3705,1080,275,5175,69.6
9,2380,0,3270,940,350,4650,69.2
10,2260,0,2960,795,300,4085,68.7
11,1855,0,2270,895,915,4150,68.0
12,1870,0,2495,860,1280,4685,67.2
13,1970,0,3020,895,1655,5615,66.7
14,2365,0,3585,1095,350,5070,66.4
15,2520,0,3715,1180,360,5315,66.4
16,2315,0,3335,1310,530,5260,66.6
17,2225,10,2950,1430,400,4850,66.7
18,1750,0,2255,1280,225,3810,66.8
19,1320,0,1645,1060,450,3220,66.7
20,1195,0,1480,1205,325,3070,66.6
21,965,0,1285,935,525,2790,66.6
22,715,0,1095,915,500,2530,66.4
23,1140,0,1565,850,605,3030,66.2
24,1965,0,2945,1185,245,4425,65.8
25,1475,0,2310,1360,490,4225,65.7
26,1460,0,2420,1700,570,4735,65.7
27,1410,0,2255,1465,445,4200,65.7
28,1200,0,2015,1510,565,4150,66.1
29,1240,0,1965,1415,515,3945,66.5
30,1010,0,1495,1195,425,3200,66.8
31,880,0,1310,1035,235,2635,66.6
32,980,0,1330,855,410,2615,66.4
33,1000,0,1250,1045,270,2600,66.4
34,1125,0,1420,710,345,2520,66.4
35,1405,0,1650,775,415,2875,66.6
36,1205,0,1910,845,215,3040,66.5
37,1010,5,1880,975,375,3285,66.5
38,1495,0,2650,1080,495,4290,66.4
39,1175,0,2320,1090,375,3850,66.4
40,1140,0,2190,1230,615,4100,66.8
41,1115,0,2020,1150,465,3685,67.2
42,945,0,1895,1215,480,3665,67.6
43,775,15,1735,1005,310,3095,67.7
44,765,0,1640,1280,650,3630,67.6
45,675,0,1435,1340,665,3470,67.6
46,625,5,1145,1405,585,3170,67.4
47,465,0,890,1320,465,2725,67.2
48,560,10,1000,1140,360,2550,66.7
49,565,15,1000,1130,405,2590,66.1
50,685,5,1565,1280,530,3405,65.8
51,840,20,1575,1385,615,3615,66.1
52,895,10,1805,1775,785,4465,66.7
53,970,5,2095,1530,675,4340,67.4
54,1020,5,2120,1290,685,4130,67.7
55,910,0,2525,1085,345,3995,67.6
56,910,0,2300,1245,995,4570,67.3
57,780,10,2100,1260,765,4220,67.2
58,685,5,1580,1105,440,3235,67.0
59,600,5,1085,1080,385,2595,66.7
60,735,0,1625,920,260,2840,65.8
61,630,5,1460,1160,400,3055,65.2
62,560,5,1250,960,340,2580,63.6
63,190,0,550,100,15,665,60.4
64,210,0,860,355,105,1405,57.7
65,700,0,1750,400,30,2195,57.2
66,405,0,990,525,110,1645,59.2
67,190,0,570,525,130,1245,60.8
68,170,0,1100,615,250,2005,61.6
69,275,0,925,615,355,1930,62.1
70,300,0,855,630,405,1955,62.4
71,160,0,445,745,250,1450,62.2
72,390,0,1605,655,350,2670,61.6
73,375,0,1075,795,260,2195,61.5
74,445,5,935,625,295,1905,62.0
75,495,0,1015,610,270,1960,62.6
76,400,0,775,470,305,1650,63.2
77,1325,0,2075,820,390,3405,63.7
78,1395,10,2440,955,375,3840,64.2
79,1225,5,2095,725,475,3325,64.4
80,1080,5,2155,1290,825,4325,64.6
81,1085,0,2120,1450,1225,4880,64.8
82,1055,5,2145,1310,1165,4655,64.8
83,770,0,1920,1240,1385,4580,64.7
84,730,0,1810,1010,475,3370,64.4
85,755,10,2285,1250,880,4470,64.5
86,675,0,2000,1445,1345,4870,64.5
87,700,5,1930,1115,1500,4590,64.9
88,725,0,2110,1185,1360,4690,65.6
89,750,5,2230,1445,1240,4980,66.5
90,680,5,2285,1220,800,4345,67.0
91,505,10,1735,975,550,3335,66.8
92,690,0,2385,1285,1195,4950,66.3
93,565,5,1500,1305,1150,3995,66.1
94,310,5,870,915,1560,3400,65.8
95,240,5,825,965,675,2535,65.5
96,410,25,3015,1565,890,5695,0.0
97,620,0,3205,1705,1110,6110,0.0
98,580,10,2455,1440,1320,5335,0.0
99,435,5,1395,1145,865,3475,0.0
