,Worker,Business,Economic,Sponsor,Refugee,Total,Employment
0,785,35,1025,750,100,1910,60.0
1,955,55,1275,775,40,2095,59.7
2,1050,25,1790,805,150,2775,59.4
3,1130,45,1965,685,105,2770,59.4
4,1200,40,1980,820,145,2970,59.7
5,1515,15,2285,1045,120,3480,60.2
6,1750,35,2600,1045,145,3810,60.7
7,1505,35,2265,995,120,3400,60.8
8,1705,25,2285,1150,215,3680,60.7
9,1290,25,1860,1020,195,3090,60.9
10,1125,10,1545,945,190,2695,61.0
11,1010,20,1290,1075,660,3040,61.0
12,1230,55,1955,890,980,3840,60.5
13,1275,25,2130,955,1020,4125,60.2
14,1430,20,2480,1080,205,3800,60.2
15,1540,20,2345,1140,310,3825,60.6
16,1415,10,2340,1290,225,3875,61.0
17,1395,35,2285,1450,285,4025,61.6
18,1160,20,1620,1205,185,3025,62.1
19,900,40,1200,1080,170,2465,62.3
20,730,25,980,1085,255,2330,62.0
21,635,25,850,985,250,2095,61.8
22,535,15,850,900,310,2085,61.5
23,1010,15,1275,910,405,2595,61.5
24,1540,20,2165,1295,135,3625,61.3
25,1180,25,1760,1420,240,3445,61.4
26,1125,15,1820,1430,335,3590,61.6
27,1100,30,1835,1315,175,3335,61.9
28,965,20,1655,1400,300,3370,62.4
29,1095,15,1920,1255,255,3450,63.2
30,965,30,1550,975,245,2795,63.6
31,985,40,1735,1050,180,2975,63.7
32,1150,10,1815,870,240,2930,63.2
33,1260,10,1760,830,220,2810,62.8
34,1340,5,1910,760,150,2820,62.5
35,1765,10,2345,765,200,3315,62.6
36,1875,25,2955,965,115,4045,62.3
37,1640,15,2695,970,190,3875,62.0
38,1595,30,2955,1090,205,4270,61.7
39,1500,25,2735,1150,215,4125,61.9
40,1295,20,2380,1110,340,3855,62.0
41,1430,20,2320,1460,290,4085,62.4
42,1210,35,2250,1475,320,4060,62.8
43,1020,25,1965,1050,245,3265,63.1
44,1090,30,1910,1235,375,3540,63.2
45,1040,20,1895,1310,270,3480,63.2
46,760,40,1295,1350,340,2990,63.1
47,885,40,1340,1620,290,3275,63.1
48,810,50,1590,900,135,2640,62.9
49,810,40,1425,1025,200,2660,62.8
50,1280,30,2275,1050,205,3545,62.8
51,1340,30,2090,1400,235,3735,62.9
52,1600,45,2680,1850,370,4920,63.3
53,1595,45,2810,1895,305,5030,63.8
54,1920,30,3460,1635,525,5630,64.1
55,1735,35,3460,1405,265,5150,63.9
56,1745,45,3145,1490,470,5120,63.3
57,1485,50,2775,1340,345,4490,63.1
58,1345,30,2355,1065,330,3780,62.8
59,1345,30,1990,1195,320,3525,62.7
60,1525,35,2795,1160,235,4210,62.1
61,1605,40,2730,1205,250,4200,61.8
62,895,20,1610,925,80,2625,60.2
63,150,10,245,90,10,345,56.9
64,600,10,1440,260,50,1760,54.2
65,1740,5,3265,620,50,3960,54.0
66,570,40,940,575,60,1585,56.2
67,375,15,565,575,115,1295,57.8
68,310,10,1095,675,210,2010,58.7
69,450,10,1105,575,220,1940,59.5
70,970,20,1665,670,295,2670,60.3
71,525,0,935,705,240,1885,60.5
72,1060,5,2205,670,315,3240,60.2
73,1425,0,2315,890,330,3560,60.2
74,1770,15,2315,805,320,3480,60.4
75,1845,10,2410,965,235,3660,60.6
76,1355,0,1790,690,215,2735,60.7
77,3765,5,4810,1205,250,6330,61.1
78,3980,20,5495,1305,280,7115,61.6
79,4325,25,5900,1195,460,7600,62.0
80,3365,35,5990,1595,750,8420,61.9
81,3520,35,5915,1695,660,8370,61.8
82,3390,40,5920,1640,600,8240,61.8
83,2200,60,4275,1640,760,6720,61.6
84,2260,45,5005,1365,385,6825,61.2
85,1800,30,4585,1535,655,6870,61.1
86,1745,35,4385,1800,790,7045,61.2
87,1315,40,3320,1375,565,5280,61.7
88,1060,55,3065,1460,495,5065,62.1
89,1185,45,3390,1595,560,5655,62.4
90,1125,65,3250,1690,510,5545,62.7
91,875,55,2780,1235,505,4635,62.6
92,980,40,3155,1545,1140,5915,62.5
93,745,60,1705,960,540,3310,62.4
94,545,50,1055,825,495,2385,62.4
95,530,70,1140,1095,415,2695,62.1
96,1180,95,5320,1950,475,7985,0.0
97,1690,105,6255,2480,620,9525,0.0
98,1450,80,4400,1600,710,6970,0.0
99,735,80,2100,1165,470,3895,0.0
