,Worker,Business,Economic,Sponsor,Refugee,Total
0,45,0,495,135,85,715
1,40,0,610,150,165,920
2,75,0,1145,150,140,1435
3,90,0,1050,120,70,1240
4,90,0,1020,155,85,1260
5,95,0,1140,215,180,1535
6,125,0,1230,180,135,1545
7,115,0,915,145,95,1150
8,100,0,1070,175,135,1375
9,80,0,1180,140,175,1500
10,70,0,815,120,190,1135
11,45,0,585,170,315,1075
12,75,0,720,95,370,1185
13,45,0,790,150,615,1560
14,90,0,1335,220,75,1630
15,100,0,1285,200,185,1675
16,75,0,1215,265,260,1735
17,80,0,1280,255,340,1875
18,75,0,1060,230,275,1570
19,55,0,880,190,330,1405
20,30,0,640,200,375,1220
21,20,0,560,190,270,1020
22,15,0,510,195,250,955
23,55,0,415,185,395,995
24,35,0,715,215,170,1105
25,35,0,670,260,235,1165
26,45,0,1015,295,310,1620
27,55,0,1025,255,185,1465
28,35,0,1045,270,130,1460
29,30,0,1135,260,175,1580
30,35,0,965,190,165,1320
31,45,0,940,175,85,1205
32,45,0,910,165,160,1240
33,80,0,685,135,115,935
34,95,0,520,130,155,805
35,95,0,425,130,190,745
36,90,0,670,180,120,970
37,115,0,795,160,100,1070
38,100,0,1045,200,145,1390
39,85,0,1210,200,110,1520
40,90,0,1225,240,120,1595
41,85,0,1020,210,145,1380
42,80,0,870,220,125,1220
43,70,0,955,190,65,1210
44,55,0,1020,230,195,1450
45,70,0,835,305,195,1340
46,45,0,660,290,130,1080
47,75,0,560,305,120,995
48,60,0,530,205,90,840
49,55,5,635,210,115,960
50,105,0,990,295,145,1430
51,75,0,880,260,160,1300
52,100,0,1345,370,190,1915
53,100,5,1605,345,215,2165
54,115,0,1580,275,100,1960
55,100,0,1760,200,130,2095
56,125,0,1415,310,320,2050
57,90,0,1235,260,275,1775
58,90,0,925,230,180,1350
59,75,0,745,195,85,1030
60,125,0,815,170,65,1050
61,95,0,815,210,100,1125
62,85,0,620,180,40,840
63,20,0,225,25,0,255
64,45,0,385,70,10,475
65,105,0,610,110,10,730
66,55,0,660,115,25,800
67,25,0,350,90,30,470
68,20,0,765,145,70,980
69,35,0,480,100,100,680
70,35,0,520,110,85,720
71,10,0,260,170,50,480
72,75,5,1205,135,60,1410
73,60,0,875,170,30,1100
74,80,0,650,130,90,880
75,80,0,775,135,45,980
76,30,0,275,95,30,410
77,145,0,1050,145,60,1270
78,170,10,1560,185,95,1860
79,145,0,1000,160,60,1225
80,140,0,1170,290,115,1600
81,170,0,1285,330,215,1840
82,150,0,1525,285,165,1990
83,155,0,1460,285,270,2020
84,130,10,1215,175,75,1485
85,65,0,1460,215,190,1870
86,90,0,1320,290,170,1805
87,95,0,1135,245,110,1500
88,100,0,1475,280,100,1870
89,120,5,1865,255,145,2285
90,110,0,1705,235,115,2075
91,60,0,1410,160,190,1805
92,105,0,1960,280,250,2505
93,60,0,1415,250,175,1850
94,55,0,860,190,365,1410
95,30,10,830,210,170,1210
96,70,5,2295,295,145,2795
97,90,10,2910,360,245,3535
98,75,0,1855,295,330,2515
99,35,0,985,240,220,1470
