,Worker,Business,Economic,Sponsor,Refugee,Total,Employment
0,20,0,95,20,10,125,55.6
1,20,0,175,15,40,230,55.0
2,25,0,175,20,75,270,54.7
3,30,0,155,10,10,170,54.9
4,10,0,120,25,0,145,55.7
5,40,0,195,30,5,235,56.9
6,25,0,255,20,0,270,57.7
7,25,0,215,20,10,245,58.1
8,30,0,195,35,20,250,58.0
9,20,0,185,10,0,200,58.0
10,5,0,120,15,20,160,57.4
11,10,0,145,20,110,280,56.8
12,20,0,190,25,495,710,55.6
13,20,0,190,35,810,1040,54.7
14,30,0,250,20,10,280,53.9
15,30,0,250,25,10,285,54.1
16,15,0,230,30,45,310,55.5
17,5,0,375,35,55,465,57.2
18,10,0,350,25,60,440,58.6
19,15,0,230,35,15,280,59.0
20,15,0,170,25,50,250,58.8
21,10,0,145,25,45,220,58.4
22,10,0,105,25,45,175,57.7
23,25,0,145,25,85,255,57.1
24,10,0,160,35,15,210,56.2
25,15,0,160,40,40,240,55.4
26,15,0,220,20,40,280,54.9
27,10,0,220,35,65,320,55.0
28,15,0,280,40,55,375,56.0
29,15,0,330,30,50,415,57.3
30,10,0,295,30,40,365,58.5
31,35,0,355,15,60,425,58.8
32,25,0,255,30,25,305,58.4
33,45,0,230,25,35,295,58.0
34,35,0,150,15,5,175,57.3
35,45,0,205,20,30,255,57.0
36,65,0,245,30,5,285,55.8
37,95,0,355,35,25,420,55.2
38,95,0,400,35,20,460,54.7
39,50,0,310,10,35,360,55.1
40,110,0,340,20,40,405,56.2
41,70,5,315,35,15,365,57.6
42,100,0,375,35,35,445,58.6
43,85,0,350,45,25,420,58.7
44,105,0,365,40,65,470,58.3
45,135,0,305,40,25,370,57.9
46,90,0,245,45,40,325,57.2
47,45,0,195,45,40,285,56.4
48,75,0,160,20,35,210,55.5
49,100,0,245,20,40,300,54.9
50,215,0,445,40,60,540,54.8
51,215,0,475,45,10,530,54.9
52,220,0,455,40,35,530,56.0
53,190,0,525,40,85,650,57.3
54,250,0,640,40,70,750,58.1
55,175,0,500,35,30,560,58.4
56,230,0,535,35,65,635,58.0
57,215,0,460,20,55,530,57.8
58,155,0,355,50,15,420,56.9
59,155,0,265,50,25,340,56.2
60,125,10,360,20,15,395,55.5
61,120,0,285,25,35,345,55.3
62,115,0,260,30,45,340,54.1
63,0,0,55,0,0,55,51.5
64,105,0,150,30,0,180,50.3
65,200,0,330,15,0,355,52.0
66,80,0,280,15,0,295,55.1
67,50,0,175,15,10,200,56.7
68,40,0,140,15,40,200,56.3
69,50,0,110,30,25,170,56.1
70,50,0,140,25,40,205,55.8
71,20,0,85,30,35,155,55.5
72,70,0,230,15,20,260,55.0
73,75,0,210,15,10,230,54.5
74,105,0,175,35,0,210,54.1
75,100,0,185,20,10,220,54.3
76,60,0,125,25,20,175,55.4
77,180,0,310,40,25,375,56.7
78,205,0,505,45,45,595,57.4
79,250,0,445,30,90,565,57.3
80,205,0,460,55,45,565,56.9
81,290,0,545,55,40,635,56.6
82,415,0,675,45,25,745,56.3
83,305,0,640,40,55,740,55.8
84,245,0,550,30,15,600,54.6
85,185,0,480,50,35,565,53.9
86,275,0,695,35,45,785,53.6
87,200,0,665,35,50,750,54.5
88,115,0,635,40,70,750,55.8
89,225,0,950,50,110,1115,57.4
90,205,0,1030,65,95,1195,58.1
91,115,0,795,40,155,995,58.2
92,160,0,940,45,140,1125,57.9
93,140,0,685,35,240,960,57.6
94,85,0,460,30,255,745,56.8
95,50,0,485,70,80,640,56.1
96,140,0,1050,60,75,1200,0.0
97,120,0,760,70,60,895,0.0
98,95,0,695,65,90,845,0.0
99,60,0,395,45,50,495,0.0
