,Worker,Business,Economic,Sponsor,Refugee,Total,Employment
0,5,0,35,15,0,50,52.4
1,15,0,50,10,15,75,51.4
2,10,0,35,5,35,75,50.7
3,5,0,65,10,25,95,50.9
4,10,0,85,10,10,105,52.1
5,15,0,55,5,0,70,54.2
6,10,0,45,10,15,70,56.2
7,30,0,90,25,5,120,57.3
8,10,0,70,5,20,95,56.6
9,10,0,50,15,15,75,55.5
10,10,0,50,15,20,90,54.1
11,15,0,50,15,135,200,53.1
12,25,0,50,5,55,110,51.4
13,30,0,80,15,80,175,50.1
14,20,0,85,25,20,135,49.3
15,20,0,65,10,10,85,50.1
16,20,0,120,30,20,165,51.9
17,15,0,60,10,40,105,54.0
18,20,0,55,15,25,95,55.4
19,10,0,45,35,25,100,55.7
20,15,0,30,15,25,70,54.9
21,0,0,15,5,10,35,53.7
22,20,0,40,10,25,75,52.3
23,10,0,20,15,20,55,51.1
24,25,0,45,5,0,50,49.9
25,15,0,60,25,10,95,48.9
26,20,0,65,15,30,115,48.1
27,15,0,85,20,5,110,48.3
28,20,0,65,25,35,125,49.7
29,20,0,55,25,30,110,51.3
30,20,0,85,15,45,145,52.7
31,20,0,45,10,45,100,52.8
32,25,0,65,25,30,120,52.1
33,15,0,30,10,20,60,51.3
34,35,0,50,10,10,70,50.6
35,30,0,45,10,25,85,50.2
36,30,0,55,5,5,65,49.0
37,25,0,75,20,15,110,48.1
38,45,0,105,10,0,120,47.5
39,35,0,90,10,15,120,48.2
40,35,0,120,10,15,145,49.6
41,25,0,80,25,40,145,51.2
42,40,0,110,25,90,220,52.5
43,45,0,100,15,30,145,53.1
44,50,0,80,10,20,115,52.9
45,35,0,80,25,15,120,52.7
46,50,0,90,25,10,125,51.9
47,15,0,45,15,30,95,51.4
48,25,0,55,15,10,85,50.5
49,25,0,45,20,25,90,50.1
50,50,0,70,15,10,100,49.8
51,55,0,85,25,45,155,50.2
52,105,0,170,40,45,255,51.2
53,35,0,85,20,30,140,52.3
54,85,0,135,20,35,190,53.4
55,35,0,115,20,25,165,53.8
56,50,0,150,15,35,200,53.6
57,65,0,115,10,45,170,52.8
58,60,0,100,25,45,175,51.8
59,40,0,60,20,50,130,50.6
60,25,0,70,10,10,90,49.4
61,45,0,140,15,15,165,48.6
62,45,0,65,25,10,105,47.8
63,0,0,0,0,0,0,45.7
64,35,0,85,5,0,90,44.6
65,25,0,65,10,0,75,45.0
66,20,0,35,10,0,45,47.3
67,15,0,25,10,0,35,49.2
68,5,0,35,5,5,50,50.0
69,35,0,60,10,30,105,50.8
70,10,0,35,20,35,90,50.9
71,10,0,15,15,10,35,50.7
72,15,0,35,10,0,45,49.7
73,35,0,110,10,10,130,47.7
74,25,0,45,10,20,80,46.8
75,30,0,55,0,5,65,46.9
76,30,0,70,10,0,80,48.7
77,55,0,70,20,20,115,50.5
78,55,0,125,10,35,170,52.0
79,65,0,130,15,25,185,52.5
80,75,0,135,25,60,225,52.0
81,90,0,160,15,125,300,51.3
82,130,0,200,25,40,270,51.1
83,110,0,190,20,155,380,50.8
84,70,0,160,15,15,195,49.6
85,65,0,170,10,15,195,48.7
86,90,0,170,20,35,235,48.2
87,55,0,130,20,30,175,49.0
88,55,0,145,10,80,240,50.5
89,75,0,160,20,90,270,52.5
90,110,0,240,30,105,380,54.1
91,85,0,255,20,45,320,54.4
92,75,0,225,20,155,400,54.1
93,60,0,360,10,45,420,53.5
94,30,0,190,10,185,390,53.0
95,30,0,160,40,75,275,52.6
96,230,0,1000,30,35,1085,0.0
97,115,0,435,20,50,505,0.0
98,95,0,365,25,65,455,0.0
99,40,0,215,10,15,245,0.0
