,Worker,Business,Economic,Sponsor,Refugee,Total
0,0,0,5,0,0,10
1,0,0,0,0,0,0
2,10,0,15,0,0,15
3,0,0,10,0,0,10
4,10,0,15,5,0,25
5,20,0,25,10,0,35
6,0,0,15,0,0,20
7,20,0,25,0,0,25
8,0,0,10,10,0,20
9,10,0,15,0,0,20
10,10,0,10,0,0,15
11,0,0,0,0,0,10
12,5,0,5,5,0,10
13,0,0,15,0,0,15
14,0,0,20,5,0,25
15,10,0,20,5,0,25
16,0,0,5,5,0,10
17,5,0,15,0,0,20
18,5,0,15,5,0,20
19,0,0,0,0,0,0
20,0,0,0,10,0,10
21,5,0,5,5,5,20
22,0,0,0,0,0,5
23,0,0,15,0,0,15
24,10,0,35,0,0,40
25,0,0,10,5,0,15
26,5,0,20,5,0,25
27,0,0,5,5,0,15
28,5,0,15,5,0,25
29,10,0,15,10,0,30
30,5,0,10,0,0,15
31,5,0,20,0,0,20
32,0,0,0,0,0,0
33,0,0,5,5,0,10
34,10,0,20,0,0,20
35,10,0,10,0,0,15
36,15,0,20,5,0,30
37,0,0,15,0,0,20
38,15,0,50,10,0,55
39,0,0,15,0,0,15
40,0,0,0,5,0,10
41,10,0,20,10,5,35
42,0,0,10,0,0,15
43,0,0,15,10,0,25
44,0,0,15,5,0,20
45,10,0,15,10,0,25
46,0,0,10,5,0,15
47,10,0,15,0,0,15
48,0,0,0,10,0,15
49,0,0,15,5,5,25
50,0,0,5,5,0,15
51,5,0,15,15,0,35
52,0,0,0,10,0,10
53,0,0,0,10,0,15
54,5,0,10,5,0,15
55,0,0,10,0,0,15
56,0,0,10,5,0,20
57,0,0,5,0,0,10
58,0,0,10,10,0,20
59,0,0,0,5,0,10
60,0,0,0,5,0,5
61,0,0,10,10,5,25
62,0,0,5,10,0,20
63,5,0,10,0,0,10
64,0,0,5,0,0,5
65,10,0,15,0,0,15
66,0,0,0,0,0,10
67,0,0,0,0,0,0
68,0,0,10,0,0,10
69,0,0,10,5,0,15
70,0,0,0,0,0,0
71,0,0,0,10,0,10
72,0,0,5,0,0,10
73,0,0,10,0,0,10
74,0,0,0,5,0,10
75,0,0,0,5,0,10
76,0,0,10,5,0,20
77,5,0,30,5,0,35
78,5,0,25,5,0,30
79,10,0,30,0,0,35
80,10,0,20,5,0,25
81,10,0,30,15,5,50
82,10,0,25,0,0,30
83,5,0,15,10,0,30
84,5,0,15,0,0,20
85,5,0,25,5,0,30
86,5,0,25,0,0,30
87,5,0,15,10,0,20
88,0,0,15,10,0,25
89,0,0,15,5,0,20
90,0,0,15,0,0,15
91,0,0,10,10,0,20
92,0,0,20,10,0,30
93,5,0,5,5,0,15
94,0,0,0,0,0,0
95,0,0,0,0,0,5
96,0,0,20,5,5,35
97,10,0,50,5,0,55
98,10,0,25,5,0,35
99,0,0,10,5,0,20
