,Worker,Business,Economic,Sponsor,Refugee,Total,Employment
0,45,0,90,30,10,130,57.2
1,50,0,120,35,30,185,56.4
2,105,0,235,30,15,285,55.7
3,45,0,140,45,40,230,55.5
4,105,0,230,40,10,285,56.2
5,125,0,255,45,15,320,57.3
6,150,0,260,55,20,335,58.6
7,95,0,275,65,20,365,58.8
8,115,0,290,40,40,370,58.6
9,105,0,240,50,20,315,58.2
10,65,0,190,55,25,270,57.8
11,70,0,165,40,130,340,57.2
12,85,5,205,30,455,695,55.9
13,65,0,250,45,405,705,55.2
14,100,5,390,65,20,475,54.8
15,110,0,415,65,30,515,55.2
16,100,0,400,65,80,545,56.0
17,65,0,370,80,115,565,57.2
18,55,0,290,70,55,420,58.0
19,35,0,300,60,35,395,58.2
20,50,0,190,50,70,315,57.8
21,30,0,170,45,45,255,57.5
22,30,0,215,45,90,360,57.2
23,55,0,190,40,50,275,57.0
24,50,5,290,35,20,345,56.4
25,25,0,265,50,45,360,55.7
26,35,0,260,60,110,430,55.2
27,35,0,240,60,30,330,55.3
28,35,0,315,65,65,445,56.4
29,20,0,305,100,30,435,57.3
30,30,0,250,80,40,375,58.3
31,55,0,275,65,40,380,58.2
32,40,0,310,45,40,400,57.8
33,80,0,275,40,25,345,57.3
34,65,0,220,65,10,295,56.8
35,105,0,305,45,25,375,56.6
36,85,0,305,35,20,360,55.9
37,105,0,355,70,45,470,55.5
38,130,0,445,45,15,515,55.0
39,85,0,450,50,50,555,55.4
40,80,0,410,60,35,505,56.3
41,75,0,460,65,45,575,57.2
42,110,0,460,65,45,570,57.8
43,105,0,415,50,45,505,57.9
44,110,0,485,70,70,625,57.7
45,95,0,365,80,110,560,57.6
46,80,0,245,70,105,420,57.3
47,50,0,195,60,65,325,57.2
48,90,5,245,60,65,370,56.7
49,100,0,265,45,70,385,56.3
50,140,0,415,65,30,515,56.0
51,185,0,420,100,20,545,56.2
52,255,0,625,115,90,835,57.2
53,220,5,635,60,50,750,58.4
54,340,0,850,85,85,1025,59.2
55,185,0,530,60,80,675,59.1
56,230,0,625,75,80,785,58.7
57,260,0,560,75,125,765,58.4
58,160,0,365,85,45,505,57.9
59,185,0,335,55,55,445,57.5
60,110,0,290,60,45,400,56.8
61,150,0,335,65,45,455,56.4
62,100,0,270,50,15,335,54.9
63,15,0,45,0,0,45,52.2
64,140,10,315,45,0,360,50.2
65,150,0,420,30,5,455,50.8
66,65,5,190,40,20,250,53.2
67,100,0,180,35,25,240,55.0
68,60,0,160,30,55,250,55.7
69,50,0,170,35,15,225,56.1
70,105,0,205,40,35,285,56.6
71,45,0,115,50,60,225,56.4
72,95,5,275,25,15,325,56.2
73,120,0,280,35,20,340,55.9
74,175,0,260,50,15,330,56.0
75,105,0,205,20,15,245,56.2
76,130,0,235,50,10,295,56.1
77,345,0,450,45,40,545,56.8
78,375,0,725,60,30,825,57.4
79,635,0,935,70,80,1090,58.2
80,570,0,950,85,125,1165,58.0
81,500,0,910,85,115,1130,57.7
82,780,0,1310,105,115,1535,57.5
83,560,0,1060,100,175,1340,57.2
84,435,0,905,80,50,1035,56.7
85,330,0,860,65,45,980,56.5
86,400,0,1060,90,70,1230,56.3
87,265,0,835,85,75,995,56.8
88,250,5,895,95,125,1120,57.6
89,305,0,1150,95,155,1400,58.7
90,315,0,1265,120,115,1500,59.0
91,250,0,905,85,135,1130,58.7
92,255,0,1065,85,150,1310,58.2
93,145,5,565,50,195,815,57.9
94,75,0,300,40,155,495,57.8
95,115,0,375,180,95,650,57.8
96,360,0,1510,115,105,1745,0.0
97,180,5,860,120,120,1115,0.0
98,165,0,840,100,135,1080,0.0
99,80,0,490,75,50,620,0.0
