,Worker,Business,Economic,Sponsor,Refugee,Total
0,2705,35,2775,1965,410,5320
1,3295,55,3655,2045,740,6590
2,3610,45,4045,2195,1455,7860
3,4210,45,4655,2100,625,7610
4,5355,50,5730,2720,825,9510
5,5940,65,6490,2830,1060,10575
6,6145,55,6705,2525,945,10375
7,5145,55,5570,2495,880,9120
8,5500,75,5850,2805,1295,10165
9,4280,25,4525,2810,1385,8895
10,3455,35,3635,2420,1620,7860
11,3255,45,3410,2725,3410,9700
12,3180,45,3460,2220,4475,10300
13,3410,20,3780,2445,5495,11835
14,4685,45,5120,2860,1420,9580
15,5400,40,5825,2970,1400,10390
16,4740,45,5195,3320,2055,10795
17,4370,50,4895,3485,2530,11055
18,3870,100,4310,3680,1320,9465
19,2750,75,3040,3095,1200,7485
20,2570,35,2795,2980,1905,7835
21,1980,20,2330,2995,2100,7560
22,1370,15,1670,2530,1915,6215
23,2360,30,2705,2575,2000,7360
24,2725,15,3570,2685,880,7320
25,2375,25,2910,3300,1810,8210
26,2605,40,3135,3945,2495,9760
27,2810,15,3240,3715,1505,8565
28,2905,35,3390,3720,1680,8980
29,3305,50,3880,3675,2000,9725
30,3395,25,3930,3100,2870,10095
31,3660,35,4355,2860,1335,8725
32,4405,30,5195,2610,1340,9245
33,5915,20,6560,2080,945,9695
34,5470,5,6025,1965,1185,9320
35,6480,15,7160,3090,1895,12370
36,6535,25,7415,2175,1185,10915
37,6275,15,7225,2515,1305,11165
38,7010,35,8120,2805,2040,13175
39,6445,25,7465,2700,1845,12195
40,5625,20,6555,3180,2275,12285
41,5590,20,6690,3790,2635,13315
42,4840,30,5845,3665,2370,12065
43,4395,20,5350,3050,1410,10040
44,4635,20,5825,3135,1990,11140
45,4090,50,5150,3560,2240,11120
46,3410,20,4175,3525,2400,10270
47,3140,25,3860,3765,1995,9780
48,3255,35,3890,2775,1685,8530
49,3830,45,4600,3105,1860,9800
50,5500,45,6745,3785,2115,12825
51,5795,50,6740,3405,2230,12540
52,6435,65,7605,4620,2750,15285
53,6660,80,8165,4265,3155,15705
54,7450,110,8920,3995,3155,16330
55,7035,70,8665,3210,2115,14140
56,7520,55,8825,3710,2620,15455
57,6460,35,7495,3430,2075,13455
58,4940,25,5605,3270,1225,10635
59,4295,30,4895,3000,535,8665
60,5600,35,6475,2945,1675,11330
61,5900,50,6680,3395,2015,12285
62,4065,25,4575,2795,1215,8725
63,1335,5,1665,455,130,2270
64,2025,15,2570,1000,815,4740
65,6405,10,7160,1220,565,9065
66,2745,10,3305,1395,985,5790
67,2005,45,2505,1530,945,5120
68,1295,25,2180,2060,1885,6350
69,2000,15,2565,1975,1955,6775
70,2040,5,2520,1620,1780,6280
71,975,10,1200,1845,1095,4230
72,4010,20,5620,2245,3555,11840
73,4845,0,5915,2360,2800,11515
74,6580,0,6970,1910,2330,11650
75,4770,10,5250,2130,2260,10245
76,4300,10,4785,1715,1970,9245
77,11660,5,12830,2630,2495,18865
78,10965,30,12520,3265,2030,18470
79,10675,25,12515,2875,2735,18430
80,10290,30,13450,4235,3630,22090
81,9265,30,12915,4540,4030,22450
82,9970,40,14795,4370,3850,23545
83,7285,20,11245,4400,4770,20940
84,5965,30,10565,3455,2695,17255
85,4860,40,9125,3670,2785,16055
86,4665,50,8535,4375,3670,17350
87,4430,30,8045,4240,3505,16200
88,4345,40,7870,4490,3055,16060
89,4830,75,9140,4965,3790,18545
90,5080,80,9290,4790,3070,17590
91,3290,40,7025,3355,3015,13955
92,5105,80,8935,4270,4905,18580
93,4330,65,6955,3810,3735,14895
94,2615,65,4060,2510,2805,9560
95,2180,40,3800,2790,2025,8920
96,4495,75,10240,6995,2765,21595
97,4650,60,10480,4870,3140,19340
98,5625,90,10840,4915,3300,19895
99,4025,60,6990,3870,2745,14115
