,Worker,Business,Economic,Sponsor,Refugee,Total,Employment
0,5,0,35,5,0,45,58.9
1,0,0,55,0,10,65,58.2
2,0,0,70,0,15,90,57.9
3,5,0,70,5,0,75,57.8
4,10,0,100,15,0,120,59.1
5,10,0,85,5,0,95,61.8
6,0,0,115,5,5,130,63.9
7,5,0,125,5,0,130,64.7
8,10,0,75,10,20,105,63.9
9,0,0,115,5,0,125,63.4
10,0,0,90,0,0,90,61.8
11,0,0,65,10,45,120,60.3
12,0,0,90,5,50,145,58.3
13,0,0,165,5,90,260,57.6
14,0,0,145,0,5,155,56.9
15,0,0,235,5,0,245,56.6
16,0,0,160,10,5,175,58.1
17,0,0,315,5,15,335,60.4
18,0,0,305,5,10,325,62.7
19,0,5,190,15,15,220,63.3
20,10,0,120,10,20,150,62.6
21,0,0,65,10,10,85,61.7
22,0,0,95,5,25,130,60.2
23,0,0,80,0,10,90,58.9
24,5,0,150,0,0,150,57.9
25,0,0,155,5,5,165,57.6
26,0,0,265,5,15,290,57.2
27,0,0,285,5,0,290,57.1
28,5,0,135,0,5,145,59.1
29,5,0,180,30,5,220,62.0
30,5,0,195,5,10,210,64.1
31,10,0,220,10,5,240,64.4
32,15,0,165,0,10,180,63.2
33,10,0,190,5,0,195,62.2
34,25,0,115,10,10,130,60.4
35,10,0,110,0,15,125,59.5
36,15,0,95,0,0,100,58.2
37,25,0,110,5,25,145,57.7
38,15,0,230,0,0,235,57.1
39,15,5,150,10,10,165,57.2
40,15,0,175,5,0,180,59.1
41,15,0,155,10,10,175,61.9
42,55,0,190,20,0,210,64.4
43,15,0,215,15,0,235,64.9
44,25,0,220,15,5,240,64.1
45,45,0,170,5,0,175,63.2
46,30,0,110,10,10,130,61.5
47,15,5,120,10,5,135,59.7
48,25,5,115,5,15,135,57.9
49,20,10,170,5,15,190,57.1
50,55,10,195,10,15,220,57.0
51,50,5,200,15,0,220,57.4
52,30,0,175,15,5,195,59.5
53,25,0,160,15,10,185,61.9
54,65,10,300,20,0,325,64.4
55,25,15,260,15,0,275,65.1
56,55,0,245,5,0,255,64.5
57,25,5,135,5,10,155,63.5
58,35,0,150,10,0,160,61.9
59,20,0,125,5,0,130,60.8
60,25,0,170,5,5,185,59.6
61,30,0,155,10,15,175,59.0
62,25,0,125,10,0,135,57.5
63,0,0,20,0,0,20,54.7
64,15,0,60,5,0,65,54.0
65,20,0,190,0,0,195,56.1
66,10,5,55,5,0,60,59.5
67,5,0,65,10,5,80,61.5
68,0,0,110,0,0,115,61.0
69,15,0,80,0,10,95,60.5
70,10,0,120,0,5,130,58.8
71,0,0,20,5,5,35,57.4
72,15,0,105,0,0,110,56.2
73,20,0,165,5,0,175,55.4
74,10,0,65,10,0,80,55.3
75,20,0,75,10,0,90,55.7
76,25,0,60,0,0,65,57.9
77,85,0,170,5,0,175,60.3
78,130,0,410,10,10,430,62.6
79,90,0,295,10,10,315,63.2
80,80,0,280,25,15,320,62.3
81,80,0,265,20,5,285,61.4
82,115,0,255,15,5,280,60.3
83,85,0,250,15,15,285,59.7
84,55,0,190,10,0,200,58.4
85,40,0,230,15,0,245,57.6
86,45,0,185,10,10,205,57.2
87,50,0,230,10,15,255,57.8
88,45,0,265,20,5,290,60.1
89,25,0,285,15,20,320,62.9
90,45,0,295,15,5,315,64.9
91,40,0,240,15,5,260,64.9
92,55,0,225,20,5,255,62.8
93,30,0,125,10,5,140,62.0
94,25,0,70,5,10,85,59.7
95,15,0,70,15,0,90,59.0
96,80,0,625,5,10,640,0.0
97,40,0,305,20,0,325,0.0
98,40,0,280,20,0,310,0.0
99,20,0,125,10,0,140,0.0
