,Worker,Business,Economic,Sponsor,Refugee,Total
0,895,395,1290,565,140,2090
1,1440,660,2100,595,215,2920
2,2130,535,2665,820,665,4205
3,2405,370,2780,765,470,4070
4,2510,410,2920,895,400,4315
5,2765,670,3435,945,600,5055
6,3000,785,3785,1000,500,5350
7,2130,660,2790,890,325,4080
8,2080,330,2410,1105,675,4300
9,1895,210,2100,975,870,4005
10,1685,150,1840,855,795,3590
11,1545,245,1785,1075,2000,5025
12,1475,290,1760,760,1750,4335
13,1885,315,2200,780,2140,5195
14,2655,355,3010,835,425,4345
15,2545,265,2810,875,570,4375
16,3035,335,3375,995,695,5165
17,3220,505,3725,1060,720,5625
18,3185,685,3875,1185,630,5820
19,2180,890,3065,1095,410,4675
20,2275,360,2635,1010,435,4210
21,1650,195,1840,975,370,3310
22,1250,185,1435,790,465,2735
23,1615,250,1865,760,810,3455
24,1760,440,2200,610,465,3295
25,1725,355,2080,920,810,3825
26,2560,550,3110,1170,1425,5750
27,2525,450,2980,1130,845,5045
28,2495,360,2855,1170,825,4940
29,3200,530,3735,1260,915,6105
30,2860,590,3455,1180,1120,5850
31,1950,595,2545,1035,525,4185
32,2080,290,2365,885,525,3820
33,1450,210,1665,885,520,3110
34,1350,125,1470,970,685,3210
35,1720,95,1815,920,470,3250
36,1455,100,1555,605,445,2640
37,1760,175,1935,920,630,3605
38,2315,240,2555,1020,1070,4790
39,2520,215,2735,855,705,4390
40,2230,300,2525,1030,550,4175
41,2325,495,2820,1025,975,4880
42,2840,385,3225,1080,850,5190
43,2535,815,3350,1095,515,5010
44,2710,420,3130,1055,910,5145
45,2255,450,2705,1050,695,4490
46,1125,310,1435,1350,695,3535
47,920,300,1220,1195,795,3265
48,715,495,1210,760,485,2475
49,935,375,1310,640,395,2355
50,1460,315,1775,925,485,3215
51,1270,380,1650,800,585,3085
52,1255,255,1510,975,680,3225
53,1885,240,2125,840,875,3870
54,2030,280,2305,870,1325,4545
55,1510,275,1790,610,345,2785
56,2390,225,2615,900,665,4195
57,2355,205,2560,775,580,3980
58,2235,150,2385,805,390,3660
59,1705,195,1895,785,445,3175
60,1635,360,1995,650,515,3195
61,1410,115,1525,765,485,2820
62,990,65,1055,540,360,1965
63,120,5,130,60,10,195
64,360,25,385,520,440,1425
65,440,70,510,385,425,1365
66,1550,80,1635,565,255,2520
67,1305,75,1375,685,140,2235
68,1475,60,1540,620,265,2465
69,1160,75,1235,800,455,2535
70,890,130,1020,895,435,2415
71,330,50,375,1310,410,2105
72,2305,80,2385,775,530,3725
73,1745,105,1850,990,420,3315
74,1645,130,1775,795,465,3110
75,1670,105,1775,775,430,3070
76,990,40,1030,770,390,2365
77,2150,90,2240,930,465,3810
78,2865,475,3345,1190,520,5215
79,1980,295,2275,1140,700,4215
80,2390,155,2545,1820,825,5425
81,2170,75,2245,1750,850,5375
82,2365,55,2420,1540,880,4955
83,2895,75,2970,1420,805,5690
84,1525,230,1755,815,520,3275
85,2265,185,2450,1090,645,4560
86,3335,220,3555,1155,680,5795
87,3020,280,3295,955,595,5070
88,3655,405,4060,1150,710,6180
89,4175,590,4765,1405,650,7045
90,4440,1125,5570,1385,605,7730
91,3535,680,4215,1055,470,5895
92,3995,535,4530,1520,775,6980
93,2785,345,3135,1015,645,4945
94,3900,265,4170,805,925,5990
95,3715,340,4055,560,590,5250
96,2810,710,3520,1475,470,5995
97,2970,305,3275,1160,625,5100
98,2635,370,3010,1235,720,4965
99,1595,335,1935,935,410,3280
