,Worker,Business,Economic,Sponsor,Refugee,Total,Employment
0,85,0,465,95,45,605,66.1
1,70,0,520,140,15,680,65.6
2,105,0,875,105,95,1075,65.3
3,105,0,905,115,55,1075,65.7
4,145,0,1060,145,50,1260,66.5
5,160,0,1055,155,80,1290,67.4
6,130,0,1085,130,80,1295,67.5
7,170,0,1025,120,30,1180,67.2
8,110,0,1005,150,50,1205,66.8
9,110,0,845,145,85,1085,66.8
10,90,0,645,125,70,840,66.6
11,90,0,565,130,230,935,66.1
12,95,0,630,110,485,1225,65.4
13,110,0,875,140,465,1485,64.7
14,120,0,1170,175,50,1395,64.4
15,135,0,1145,145,70,1365,64.2
16,115,0,1065,200,140,1405,65.0
17,150,0,1410,195,140,1750,65.8
18,95,0,1145,220,105,1480,66.5
19,80,0,770,165,65,1000,66.3
20,45,0,815,125,50,990,65.9
21,40,0,690,175,60,920,65.6
22,30,0,635,155,125,925,65.3
23,50,0,620,160,155,935,64.9
24,85,0,1040,195,60,1295,64.3
25,65,0,795,170,80,1045,64.1
26,65,0,1095,270,125,1485,64.0
27,70,0,1095,205,120,1420,64.0
28,80,0,1090,210,85,1390,64.6
29,80,0,1175,200,55,1430,65.3
30,90,0,1075,200,105,1380,65.9
31,70,0,1105,115,80,1305,65.7
32,100,0,1040,135,105,1285,65.4
33,135,0,895,120,85,1100,65.0
34,125,0,620,95,40,760,64.6
35,160,0,620,95,75,790,64.3
36,125,0,915,100,55,1065,64.0
37,165,0,1190,155,105,1450,63.7
38,125,0,1240,140,90,1475,63.7
39,120,0,1240,155,85,1480,63.7
40,125,0,1225,155,105,1490,64.3
41,110,0,1190,135,90,1415,64.9
42,125,0,1090,180,80,1355,65.4
43,85,0,1130,155,60,1345,65.3
44,95,0,1260,165,105,1530,64.9
45,70,0,835,245,135,1215,64.9
46,60,0,545,180,80,805,65.0
47,85,0,555,225,95,875,64.9
48,60,0,515,185,60,765,64.6
49,75,0,615,165,90,870,64.1
50,135,0,865,240,105,1215,64.1
51,110,0,795,240,80,1115,64.3
52,105,0,955,250,135,1345,65.1
53,130,0,1105,270,100,1475,65.9
54,110,0,1365,175,120,1660,66.2
55,140,0,1400,205,60,1675,66.2
56,100,0,1770,190,220,2185,65.9
57,90,0,1260,205,165,1640,66.0
58,75,0,875,140,70,1090,65.7
59,50,0,640,160,30,835,65.2
60,60,0,825,130,35,995,64.6
61,75,0,935,195,60,1195,64.1
62,45,0,600,130,100,830,63.0
63,25,0,220,15,0,240,60.3
64,15,0,320,60,5,395,58.1
65,80,0,575,60,5,645,58.1
66,30,0,640,65,0,705,60.4
67,20,0,380,70,0,455,62.2
68,30,0,390,95,75,565,62.8
69,35,0,380,90,45,525,63.2
70,45,0,360,80,50,495,63.3
71,15,0,200,135,45,380,62.6
72,60,0,895,120,35,1050,61.9
73,55,0,620,140,15,775,61.4
74,70,0,510,90,20,625,61.2
75,80,0,460,115,25,600,61.5
76,35,0,235,75,35,355,62.5
77,120,0,635,115,65,820,63.8
78,130,0,915,140,75,1135,64.2
79,175,0,685,115,65,870,64.4
80,145,0,760,185,90,1035,64.1
81,200,0,770,210,120,1100,64.2
82,160,0,810,205,290,1305,63.8
83,90,0,940,155,180,1280,63.4
84,70,0,885,155,95,1140,63.2
85,95,0,1140,180,130,1450,63.4
86,70,0,1210,205,160,1575,63.5
87,60,0,1200,155,130,1485,63.9
88,65,0,1315,230,100,1645,64.7
89,75,0,1895,225,145,2275,65.8
90,85,0,2270,220,120,2615,66.2
91,35,0,1500,130,115,1745,65.9
92,65,0,2175,185,250,2615,65.1
93,50,0,1960,190,205,2360,64.8
94,25,0,1070,135,410,1615,64.3
95,30,0,865,160,135,1165,64.0
96,25,0,1725,200,100,2040,0.0
97,95,0,2595,260,120,2975,0.0
98,70,0,1975,215,175,2375,0.0
99,35,0,1295,140,115,1555,0.0
