,Worker,Business,Economic,Sponsor,Refugee,Total
0,0,0,15,0,0,15
1,5,0,15,0,0,20
2,0,0,15,0,0,20
3,0,0,25,5,0,30
4,0,0,10,0,0,15
5,5,0,20,10,0,30
6,0,0,30,0,0,30
7,5,0,25,15,0,35
8,10,0,20,5,0,30
9,0,0,15,5,0,20
10,0,0,10,5,0,15
11,0,0,5,0,0,5
12,0,0,10,0,10,25
13,0,0,10,5,0,15
14,0,0,15,10,0,25
15,5,0,20,5,0,25
16,0,0,10,5,0,15
17,0,0,5,5,0,15
18,0,0,5,5,0,15
19,0,0,5,10,0,15
20,5,0,10,0,5,15
21,0,0,0,0,0,5
22,0,0,10,10,0,20
23,10,0,20,5,0,25
24,0,0,20,5,0,25
25,0,0,10,10,0,20
26,0,0,15,10,0,30
27,0,0,15,10,0,25
28,0,0,10,10,0,20
29,0,0,10,5,0,20
30,0,0,10,5,0,15
31,0,0,10,5,0,15
32,5,0,15,5,0,20
33,0,0,5,0,0,10
34,0,0,15,0,0,20
35,0,0,5,0,0,10
36,5,0,30,0,0,30
37,10,0,30,0,0,35
38,0,0,25,0,0,30
39,0,0,35,10,0,45
40,0,0,15,5,10,25
41,0,0,10,0,0,10
42,0,0,20,0,0,25
43,0,0,20,0,0,25
44,0,0,10,5,0,20
45,5,0,25,5,0,35
46,0,0,5,5,0,15
47,5,0,15,0,0,20
48,0,0,5,10,0,15
49,0,0,10,5,0,15
50,5,0,25,10,0,30
51,0,0,25,10,0,30
52,0,0,25,10,0,35
53,0,0,35,10,0,45
54,0,0,35,15,0,50
55,0,0,35,0,5,45
56,0,0,30,10,0,35
57,0,0,20,5,0,25
58,5,0,25,5,0,35
59,0,0,20,10,0,30
60,0,0,15,5,0,20
61,5,0,30,10,0,35
62,0,0,20,5,0,30
63,0,0,5,0,0,5
64,0,0,5,0,0,5
65,0,0,5,0,0,10
66,5,0,15,0,0,20
67,0,0,5,0,0,5
68,0,0,10,0,0,15
69,0,0,5,0,0,10
70,0,0,5,0,0,10
71,0,0,5,0,0,10
72,0,0,5,0,0,10
73,0,0,35,5,0,40
74,0,0,25,10,0,30
75,0,0,20,0,0,25
76,0,0,65,0,0,75
77,5,0,50,0,0,55
78,10,0,50,10,0,60
79,10,0,50,10,0,60
80,10,0,35,10,0,45
81,15,0,70,5,0,75
82,15,0,55,5,0,65
83,10,0,45,5,0,50
84,10,0,40,0,0,40
85,10,0,60,5,0,65
86,15,0,55,10,0,65
87,5,0,35,10,0,50
88,0,0,30,5,0,40
89,0,0,35,10,0,50
90,0,0,30,10,0,40
91,0,0,25,0,5,35
92,0,0,25,5,0,35
93,0,0,5,0,0,10
94,0,0,0,10,0,10
95,0,0,5,10,0,15
96,0,0,95,10,0,105
97,5,0,150,20,0,170
98,0,0,60,10,0,65
99,0,0,15,5,0,20
