"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","64.0","","","","1"
"2015-02","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","64.2","","","","1"
"2015-03","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","64.1","","","","1"
"2015-04","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","64.5","","","","1"
"2015-05","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","66.4","","","","1"
"2015-06","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","67.3","","","","1"
"2015-07","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","67.5","","","","1"
"2015-08","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","67.6","","","","1"
"2015-09","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","66.3","","","","1"
"2015-10","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","66.2","","","","1"
"2015-11","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","65.4","","","","1"
"2015-12","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","64.7","","","","1"
"2016-01","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","63.4","","","","1"
"2016-02","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","63.7","","","","1"
"2016-03","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","63.5","","","","1"
"2016-04","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","63.9","","","","1"
"2016-05","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","66.0","","","","1"
"2016-06","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","66.4","","","","1"
"2016-07","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","66.7","","","","1"
"2016-08","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","66.8","","","","1"
"2016-09","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","65.7","","","","1"
"2016-10","Canada","2016A000011124","Employment rate","Total, all education levels","Males","15 years and over","Percentage","242","units","0","v2628820","1.10.1.2.1","65.6","","","","1"
