"REF_DATE","GEO","DGUID","Immigrant status","Labour force characteristics","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.2","","","","1"
"2015-02","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","60.8","","","","1"
"2015-03","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","60.6","","","","1"
"2015-04","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","60.8","","","","1"
"2015-05","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.3","","","","1"
"2015-06","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.0","","","","1"
"2015-07","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.5","","","","1"
"2015-08","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.6","","","","1"
"2015-09","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.3","","","","1"
"2015-10","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.1","","","","1"
"2015-11","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.7","","","","1"
"2015-12","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.5","","","","1"
"2016-01","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","60.9","","","","1"
"2016-02","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","60.5","","","","1"
"2016-03","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","60.2","","","","1"
"2016-04","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","60.4","","","","1"
"2016-05","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.0","","","","1"
"2016-06","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.7","","","","1"
"2016-07","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.2","","","","1"
"2016-08","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.2","","","","1"
"2016-09","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.9","","","","1"
"2016-10","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.7","","","","1"
"2016-11","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.5","","","","1"
"2016-12","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.4","","","","1"
"2017-01","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.0","","","","1"
"2017-02","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","60.8","","","","1"
"2017-03","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","60.6","","","","1"
"2017-04","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","60.7","","","","1"
"2017-05","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.3","","","","1"
"2017-06","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.1","","","","1"
"2017-07","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.7","","","","1"
"2017-08","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.8","","","","1"
"2017-09","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.5","","","","1"
"2017-10","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.2","","","","1"
"2017-11","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.0","","","","1"
"2017-12","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.0","","","","1"
"2018-01","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.6","","","","1"
"2018-02","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.2","","","","1"
"2018-03","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","60.9","","","","1"
"2018-04","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.1","","","","1"
"2018-05","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.6","","","","1"
"2018-06","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.2","","","","1"
"2018-07","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.8","","","","1"
"2018-08","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.8","","","","1"
"2018-09","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.5","","","","1"
"2018-10","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.3","","","","1"
"2018-11","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.1","","","","1"
"2018-12","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.1","","","","1"
"2019-01","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.8","","","","1"
"2019-02","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.5","","","","1"
"2019-03","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.3","","","","1"
"2019-04","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.5","","","","1"
"2019-05","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.1","","","","1"
"2019-06","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.8","","","","1"
"2019-07","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","63.2","","","","1"
"2019-08","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","63.2","","","","1"
"2019-09","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.9","","","","1"
"2019-10","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.7","","","","1"
"2019-11","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.4","","","","1"
"2019-12","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","62.2","","","","1"
"2020-01","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.7","","","","1"
"2020-02","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","61.4","","","","1"
"2020-03","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","59.9","","","","1"
"2020-04","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","56.6","","","","1"
"2020-05","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","54.1","","","","1"
"2020-06","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","54.0","","","","1"
"2020-07","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","56.3","","","","1"
"2020-08","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","58.1","","","","1"
"2020-09","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","58.9","","","","1"
"2020-10","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","59.5","","","","1"
"2020-11","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","59.8","","","","1"
"2020-12","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","59.7","","","","1"
"2021-01","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","58.9","","","","1"
"2021-02","Canada","2016A000011124","Total population","Employment rate","15 years and over","Percentage","242","units","0","v53035514","1.1.10.1","58.6","","","","1"
