"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","Canada","2016A000011124","Population","Total, all education levels","Males","15 years and over","Persons","249","thousands","3","v2628739","1.1.1.2.1","14285.0","","","","1"
"2015-02","Canada","2016A000011124","Population","Total, all education levels","Males","15 years and over","Persons","249","thousands","3","v2628739","1.1.1.2.1","14291.8","","","","1"
"2015-03","Canada","2016A000011124","Population","Total, all education levels","Males","15 years and over","Persons","249","thousands","3","v2628739","1.1.1.2.1","14299.6","","","","1"
"2015-04","Canada","2016A000011124","Population","Total, all education levels","Males","15 years and over","Persons","249","thousands","3","v2628739","1.1.1.2.1","14308.2","","","","1"
"2015-05","Canada","2016A000011124","Population","Total, all education levels","Males","15 years and over","Persons","249","thousands","3","v2628739","1.1.1.2.1","14317.8","","","","1"
"2015-06","Canada","2016A000011124","Population","Total, all education levels","Males","15 years and over","Persons","249","thousands","3","v2628739","1.1.1.2.1","14332.0","","","","1"
"2015-07","Canada","2016A000011124","Population","Total, all education levels","Males","15 years and over","Persons","249","thousands","3","v2628739","1.1.1.2.1","14342.7","","","","1"
"2015-08","Canada","2016A000011124","Population","Total, all education levels","Males","15 years and over","Persons","249","thousands","3","v2628739","1.1.1.2.1","14353.3","","","","1"
"2015-09","Canada","2016A000011124","Population","Total, all education levels","Males","15 years and over","Persons","249","thousands","3","v2628739","1.1.1.2.1","14366.7","","","","1"
"2015-10","Canada","2016A000011124","Population","Total, all education levels","Males","15 years and over","Persons","249","thousands","3","v2628739","1.1.1.2.1","14376.8","","","","1"
"2015-11","Canada","2016A000011124","Population","Total, all education levels","Males","15 years and over","Persons","249","thousands","3","v2628739","1.1.1.2.1","14386.4","","","","1"
"2015-12","Canada","2016A000011124","Population","Total, all education levels","Males","15 years and over","Persons","249","thousands","3","v2628739","1.1.1.2.1","14396.3","","","","1"
"2016-01","Canada","2016A000011124","Population","Total, all education levels","Males","15 years and over","Persons","249","thousands","3","v2628739","1.1.1.2.1","14408.6","","","","1"
"2016-02","Canada","2016A000011124","Population","Total, all education levels","Males","15 years and over","Persons","249","thousands","3","v2628739","1.1.1.2.1","14424.0","","","","1"
