"REF_DATE","GEO","DGUID","Immigrant status","Labour force characteristics","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","Canada","2016A000011124","Total population","Population","15 years and over","Persons","249","thousands","3","v53035496","1.1.1.1","28960.2","","","","1"
"2015-02","Canada","2016A000011124","Total population","Population","15 years and over","Persons","249","thousands","3","v53035496","1.1.1.1","28972.9","","","","1"
"2015-03","Canada","2016A000011124","Total population","Population","15 years and over","Persons","249","thousands","3","v53035496","1.1.1.1","28985.7","","","","1"
"2015-04","Canada","2016A000011124","Total population","Population","15 years and over","Persons","249","thousands","3","v53035496","1.1.1.1","29000.8","","","","1"
"2015-05","Canada","2016A000011124","Total population","Population","15 years and over","Persons","249","thousands","3","v53035496","1.1.1.1","29017.8","","","","1"
"2015-06","Canada","2016A000011124","Total population","Population","15 years and over","Persons","249","thousands","3","v53035496","1.1.1.1","29039.0","","","","1"
"2015-07","Canada","2016A000011124","Total population","Population","15 years and over","Persons","249","thousands","3","v53035496","1.1.1.1","29061.7","","","","1"
"2015-08","Canada","2016A000011124","Total population","Population","15 years and over","Persons","249","thousands","3","v53035496","1.1.1.1","29085.3","","","","1"
"2015-09","Canada","2016A000011124","Total population","Population","15 years and over","Persons","249","thousands","3","v53035496","1.1.1.1","29108.4","","","","1"
"2015-10","Canada","2016A000011124","Total population","Population","15 years and over","Persons","249","thousands","3","v53035496","1.1.1.1","29131.1","","","","1"
"2015-11","Canada","2016A000011124","Total population","Population","15 years and over","Persons","249","thousands","3","v53035496","1.1.1.1","29153.2","","","","1"
"2015-12","Canada","2016A000011124","Total population","Population","15 years and over","Persons","249","thousands","3","v53035496","1.1.1.1","29172.8","","","","1"
"2016-01","Canada","2016A000011124","Total population","Population","15 years and over","Persons","249","thousands","3","v53035496","1.1.1.1","29193.8","","","","1"
"2016-02","Canada","2016A000011124","Total population","Population","15 years and over","Persons","249","thousands","3","v53035496","1.1.1.1","29218.7","","","","1"
"2016-03","Canada","2016A000011124","Total population","Population","15 years and over","Persons","249","thousands","3","v53035496","1.1.1.1","29245.9","","","","1"
"2016-04","Canada","2016A000011124","Total population","Population","15 years and over","Persons","249","thousands","3","v53035496","1.1.1.1","29274.1","","","","1"
"2016-05","Canada","2016A000011124","Total population","Population","15 years and over","Persons","249","thousands","3","v53035496","1.1.1.1","29304.3","","","","1"
